session_id,WER_c1,WER_c2,DER_mix,DER_c1,DER_c2,red_c1,red_c2,sil_c1,sil_c2,SNR_c1,SNR_c2,result,fail_reasons
en_4913,0.0657439446366782,0.08446601941747572,0.0138,0.0382,0.0411,,,-44.644508028806804,-41.37420234525659,19.43320772777508,26.057342740300204,FAIL,SNR(c1)=19.4
en_4926,0.18562874251497005,0.3595959595959596,0.0297,0.0573,0.0481,,,-44.28539650100688,-43.58505700599054,25.722847159284214,17.065440356292974,FAIL,WER(c1)=0.19; WER(c2)=0.36; SNR(c2)=17.1
en_4927,0.10109465550547328,0.17006802721088435,0.0427,0.0532,0.0628,,,-59.41348252266474,-56.779772147670855,23.346973392579745,29.834357373576967,FAIL,WER(c1)=0.10; WER(c2)=0.17
en_4941,0.1780909673286355,0.150210970464135,0.003,0.0247,0.0264,,,-36.69634621394108,-42.416728537520726,14.04311438661985,27.73495764136043,FAIL,WER(c1)=0.18; WER(c2)=0.15; SNR(c1)=14.0; sil(c1)=-36.70
en_4967,0.861271676300578,0.08932346723044397,0.0739,0.0783,0.0675,,,-63.15737845232418,-48.81641880169809,26.969198721765025,21.51528571649813,FAIL,WER(c1)=0.86; DER(mix)=0.07
en_5046,0.04495912806539509,0.2024866785079929,0.0078,0.0094,0.029,,,-47.256850828525444,-46.494129144871856,26.91623775832341,24.60484761493288,FAIL,WER(c2)=0.20
en_5166,0.1772554002541296,0.18384879725085912,0.0047,0.023,0.0458,,,-48.7717970585592,-44.46708095214995,26.338185864317175,28.93651879167505,FAIL,WER(c1)=0.18; WER(c2)=0.18
en_5208,0.2381852551984877,0.05929721815519766,0.0032,0.0462,0.0137,,,-56.79036403760673,-40.793578606839006,23.220140030280024,17.03409191086657,FAIL,WER(c1)=0.24; SNR(c2)=17.0
en_5254,0.06684315023163467,0.1337890625,0.0112,0.0148,0.0257,,,-55.961683810429875,-53.02853351825285,30.499364932926873,25.93741994774557,FAIL,WER(c2)=0.13
en_5278,0.057177615571776155,0.3076923076923077,0.0032,0.0164,0.008,,,-50.480265306805414,-54.10282413213707,31.695379416492564,31.722646630048498,FAIL,WER(c2)=0.31
en_5352,0.09802749551703527,0.3355140186915888,0.0199,0.0105,0.0582,,,-55.22851634959599,-47.93240110761153,28.93509648582029,35.08935104168762,FAIL,WER(c2)=0.34
en_5373,0.2072398190045249,0.07802547770700637,0.0077,0.0222,0.0063,,,-60.14371252247998,-50.70949060852679,29.485305719500502,31.308130221737272,FAIL,WER(c1)=0.21
